CityCode;CountryCode;UtcOffset;TimeZoneId;Names.Name.@LanguageCode;Names.Name.$;Airports.AirportCode
MSE;GB;+00:00;Europe/London;EN;Manston;MSE
MSF;AU;+09:30;Australia/Darwin;EN;Mount Swan;MSF
MSG;LS;+02:00;Africa/Maseru;EN;Matsaile;MSG
MSH;OM;+04:00;Asia/Muscat;EN;Masirah;MSH
MSI;ID;+07:00;Asia/Pontianak;EN;Masalembo;MSI
MSJ;JP;+09:00;Asia/Tokyo;EN;Misawa;MSJ
MSK;CO;-05:00;America/Bogota;EN;Puerto Gaitan;MSK
MSL;US;-06:00;America/Chicago;EN;Muscle Shoals/Florence;MSL
MSM;CD;+01:00;Africa/Kinshasa;EN;Masi-Manimba;MSM
MSN;US;-06:00;America/Chicago;EN;Madison;MSN
MSO;US;-07:00;America/Denver;EN;Missoula;MSO
MSP;US;-06:00;America/Chicago;EN;Minneapolis/St Paul;['FCM', 'JDT', 'MIC', 'MSP', 'STP']
MSQ;BY;+03:00;Europe/Minsk;EN;Minsk;['MHP', 'MSQ']
MSR;TR;+03:00;Europe/Istanbul;EN;Mus;MSR
MSS;US;-05:00;America/New_York;EN;Massena;MSS
MST;NL;+01:00;Europe/Amsterdam;EN;Maastricht/Aachen;['MST', 'ZYT']
MSU;LS;+02:00;Africa/Maseru;EN;Maseru;MSU
MSV;US;-05:00;America/New_York;EN;Monticello;MSV
MSW;ER;+03:00;Africa/Asmara;EN;Massawa;MSW
MSX;CG;+01:00;Africa/Brazzaville;EN;Mossendjo;MSX
MSY;US;-06:00;America/Chicago;EN;New Orleans;['MSY', 'NBG', 'NEW']
MSZ;AO;+01:00;Africa/Luanda;EN;Namibe;MSZ
MTA;NZ;+12:00;Pacific/Auckland;EN;Matamata;MTA
MTB;CO;-05:00;America/Bogota;EN;Montelibano;MTB
MTC;US;-05:00;America/New_York;EN;Mount Clemens;['MTC', 'NFB']
MTD;AU;+09:30;Australia/Darwin;EN;Mount Sanford Station;MTD
MTE;BR;-03:00;America/Araguaina;EN;Monte Alegre;MTE
MTF;ET;+03:00;Africa/Addis_Ababa;EN;Mizan Teferi;MTF
MTG;BR;-04:00;America/Porto_Velho;EN;Mato Grosso;MTG
MTH;US;-05:00;America/New_York;EN;Marathon;MTH
MTI;CV;-01:00;Atlantic/Cape_Verde;EN;Mosteiros;MTI
MTJ;US;-07:00;America/Denver;EN;Montrose;MTJ
MTK;KI;+12:00;Pacific/Tarawa;EN;Makin;MTK
MTL;AU;+10:00;Australia/Sydney;EN;Maitland;MTL
MTM;US;-09:00;America/Anchorage;EN;Metlakatla;MTM
MTO;US;-06:00;America/Chicago;EN;Mattoon/Charleston;MTO
MTP;US;-05:00;America/New_York;EN;Montauk;MTP
MTQ;AU;+10:00;Australia/Brisbane;EN;Mitchell;MTQ
MTR;CO;-05:00;America/Bogota;EN;Monteria;MTR
MTS;SZ;+02:00;Africa/Mbabane;EN;Manzini;['MTS', 'SHO']
MTT;MX;-06:00;America/Mexico_City;EN;Minatitlan;MTT
MTU;MZ;+02:00;Africa/Maputo;EN;Montepuez;MTU
MTV;VU;+11:00;Pacific/Efate;EN;Mota Lava;MTV
MTW;US;-06:00;America/Chicago;EN;Manitowoc;MTW
MTY;MX;-06:00;America/Mexico_City;EN;Monterrey;['MTY', 'NTR']
MTZ;IL;+02:00;Asia/Jerusalem;EN;Masada;MTZ
MUA;SB;+11:00;Pacific/Guadalcanal;EN;Munda;MUA
MUB;BW;+02:00;Africa/Gaborone;EN;Maun;MUB
MUC;DE;+01:00;Europe/Berlin;EN;Munich;['AGB', 'AGY', 'AUB', 'MUC', 'ZMU']
MUD;MZ;+02:00;Africa/Maputo;EN;Mueda;MUD
MUE;US;-10:00;Pacific/Honolulu;EN;Kamuela;MUE
