icao24;callsign;origin_country;time_position;last_contact;longitude;latitude;baro_altitude;on_ground;velocity;true_track;vertical_rate;sensors;geo_altitude;squawk;spi;position_source
a680c8;N518SS  ;United States;1677688588.0;1677688588;-73.0333;40.3238;6995.16;False;179.17;220.46;11.05;;6972.3;3016;False;0
344158;VLG443H ;Spain;1677688586.0;1677688587;-6.7703;42.7606;7627.62;False;193.85;264.37;-11.7;;7559.04;;False;0
add324;FDX3687 ;United States;1677688588.0;1677688588;-87.5588;39.841;5577.84;False;262.37;90.34;-10.08;;5585.46;6015;False;0
4ca84f;RYR2398 ;Ireland;1677688587.0;1677688587;10.4168;55.3591;12192.0;False;228.63;232.59;0.0;;12169.14;0753;False;0
484f80;KLM87X  ;Kingdom of the Netherlands;1677688587.0;1677688588;4.6392;51.7598;6583.68;False;186.14;205.72;12.03;;6614.16;1000;False;0
770592;ALK503  ;Sri Lanka;1677688584.0;1677688586;22.3954;45.96;11582.4;False;228.25;299.28;0.0;;11529.06;;False;0
770593;ALK564  ;Sri Lanka;1677688588.0;1677688588;27.3795;43.4011;11277.6;False;253.31;121.46;0.0;;11300.46;;False;0
ac13f9;SWA330  ;United States;1677688588.0;1677688588;-97.4592;32.2891;3444.24;False;173.8;53.91;-5.85;;3535.68;;False;0
4ca84b;RYR3QZ  ;Ireland;1677688587.0;1677688587;-8.608;39.4785;11277.6;False;239.27;190.03;0.0;;11361.42;2264;False;0
4ca84c;RYR36AN ;Ireland;1677688587.0;1677688588;-0.4161;50.4555;11277.6;False;222.22;161.65;0.0;;11170.92;2057;False;0
a4f391;N418TR  ;United States;1677688586.0;1677688586;-83.6343;42.1644;883.92;False;73.87;46.41;-4.88;;845.82;3606;False;0
a810af;FDX1585 ;United States;1677688583.0;1677688583;-122.3;47.4608;;True;0.0;180.0;;;;;False;0
896468;FDB524  ;United Arab Emirates;1677688587.0;1677688588;87.9639;22.8494;10363.2;False;197.57;269.1;0.0;;10843.26;4707;False;0
4ca84d;RYR8HL  ;Ireland;1677688587.0;1677688588;-8.4878;39.9989;10668.0;False;239.87;190.13;0.0;;10728.96;;False;0
a810ac;XSM19   ;United States;1677688581.0;1677688587;-115.202;36.2088;;True;0.0;137.81;;;;;False;0
e495b1;AZU4745 ;Brazil;1677688588.0;1677688588;-47.2386;-22.6059;5059.68;False;159.78;352.6;12.68;;5349.24;;False;0
acc676;JSX590  ;United States;1677688587.0;1677688587;-87.729;31.5828;11277.6;False;249.59;118.84;0.33;;11711.94;;False;0
4ca857;RYR94YY ;Ireland;1677688586.0;1677688586;-14.6842;30.2453;11269.98;False;219.26;217.08;0.0;;11612.88;;False;0
896477;UAE131  ;United Arab Emirates;1677688588.0;1677688588;48.8633;51.3219;11818.62;False;214.66;301.18;1.3;;11018.52;;False;0
aa2f7d;N75537  ;United States;1677688460.0;1677688460;-80.2577;26.1901;396.24;False;48.38;81.44;-4.88;;472.44;;False;0
4ca859;RYR615N ;Ireland;1677688588.0;1677688588;16.1118;59.3007;10713.72;False;202.92;243.18;4.88;;10675.62;;False;0
896475;UAE9LT  ;United Arab Emirates;1677688587.0;1677688588;28.4111;42.6913;12192.0;False;219.44;281.49;-0.33;;12161.52;;False;0
4ca853;RYR9764 ;Ireland;1677688582.0;1677688587;-7.0974;36.2208;11277.6;False;219.45;213.91;-0.33;;11430.0;;False;0
ab4383;AAL2703 ;United States;1677688588.0;1677688588;-86.576;39.5779;11269.98;False;237.98;151.88;0.65;;11323.32;6250;False;0
a44cfd;DAL1827 ;United States;1677688580.0;1677688587;-75.1389;38.3672;10972.8;False;202.74;219.75;0.0;;11079.48;;False;0
4ca856;RYR1RH  ;Ireland;1677688588.0;1677688588;-5.985;53.0519;4777.74;False;190.0;167.81;13.98;;4892.04;5235;False;0
e48ec4;PPAUL   ;Brazil;1677688587.0;1677688587;-64.2836;32.6579;12496.8;False;251.45;67.63;0.0;;12793.98;;False;0
ac767c;AAL2484 ;United States;1677688587.0;1677688587;-99.2885;36.0803;10972.8;False;203.74;313.98;0.98;;11079.48;;False;0
89646b;FDB815  ;United Arab Emirates;1677688530.0;1677688532;48.7558;26.3239;11582.4;False;209.06;252.23;0.0;;11955.78;;False;0
ad8339;N97VT   ;United States;1677688531.0;1677688531;-80.432;36.5591;1783.08;False;78.74;341.33;0.0;;1798.32;;False;0
4ca85c;ITY112  ;Ireland;1677688588.0;1677688588;9.1961;48.2432;11582.4;False;225.2;6.43;0.0;;11468.1;1000;False;0
a81cf8;N62147  ;United States;1677688586.0;1677688586;-79.7903;35.6959;716.28;False;60.46;275.37;-0.33;;723.9;;False;0
ab437a;AMX332  ;United States;1677688383.0;1677688383;-100.6601;19.5222;10728.96;False;228.09;289.09;7.15;;11376.66;;False;0
7c5be9;QFA7421 ;Australia;;1677688549;;;;False;11.83;28.12;;;;;False;0
a1308f;N176ME  ;United States;1677688587.0;1677688587;-83.8898;39.2159;1066.8;False;67.91;65.38;-2.28;;1005.84;;False;0
a9b9e3;AAL51   ;United States;1677688587.0;1677688587;-80.4307;48.8396;10972.8;False;218.7;228.62;0.0;;10523.22;;False;0
a40694;DAL314  ;United States;1677688588.0;1677688588;-82.9339;28.3092;2506.98;False;146.66;151.28;-7.15;;2659.38;;False;0
44bc8b;OOODK   ;Belgium;1677688588.0;1677688588;2.6888;51.0791;114.3;False;56.08;180.53;-0.98;;251.46;7000;False;0
