AirportCode;CityCode;CountryCode;LocationType;UtcOffset;TimeZoneId;Position.Coordinate.Latitude;Position.Coordinate.Longitude;Names.Name.@LanguageCode;Names.Name.$
ISR;QSR;IT;Rail Station;+01:00;Europe/Rome;40.6753;14.7722;EN;Salerno Rail Station
ISS;ISS;US;Airport;-05:00;America/New_York;43.9619;-69.7119;EN;Wiscasset
IST;IST;TR;Airport;+03:00;Europe/Istanbul;41.2706;28.7425;EN;Istanbul
ISU;ISU;IQ;Airport;+03:00;Asia/Baghdad;35.5625;45.3158;EN;Sulaymaniyah International
ISW;ISW;US;Airport;-06:00;America/Chicago;44.3611;-89.8381;EN;Wisconsin Rapids South Wood County
ITA;ITA;BR;Airport;-04:00;America/Porto_Velho;-3.2;-58.5;EN;Itacoatiara
ITB;ITB;BR;Airport;-03:00;America/Araguaina;-4.2422;-56.0006;EN;Itaituba
ITE;ITE;BR;Airport;-03:00;America/Araguaina;-13.7;-39.2;EN;Itubera
ITH;ITH;US;Airport;-05:00;America/New_York;42.4911;-76.4608;EN;Ithaca
ITI;ITI;BR;Airport;-03:00;America/Araguaina;-18.0167;-41.7;EN;Itambacuri Fazenda Americana
ITJ;ITJ;BR;Off-Line Point;-03:00;America/Araguaina;-26.8667;-48.6333;EN;Itajai Off-Line Pt
ITK;ITK;PG;Airport;+10:00;Pacific/Port_Moresby;-9.2008;148.2647;EN;Itokama
ITM;OSA;JP;Airport;+09:00;Asia/Tokyo;34.7856;135.4383;EN;Osaka Itami
ITN;ITN;BR;Airport;-03:00;America/Araguaina;-14.8;-39.3833;EN;Itabuna
ITO;ITO;US;Airport;-10:00;Pacific/Honolulu;19.7214;-155.0483;EN;Hilo
ITP;ITP;BR;Airport;-03:00;America/Araguaina;-21.2189;-41.875;EN;Itaperuna
ITQ;ITQ;BR;Airport;-03:00;America/Araguaina;-29.1667;-56.5333;EN;Itaqui
ITR;ITR;BR;Airport;-03:00;America/Araguaina;-18.445;-49.2142;EN;Itumbiara F. Vilela Do Amaral
ITT;TRN;IT;Rail Station;+01:00;Europe/Rome;45.0619;7.6783;EN;Turin Porta Susa Rail Stn
ITU;BVV;RU;Airport;+11:00;Asia/Srednekolymsk;45.2564;147.9558;EN;Iturup Island Iturup
IUE;IUE;NU;Airport;-11:00;Pacific/Niue;-19.0778;-169.9267;EN;Niue Hanan
IUI;IUI;GL;Airport;-03:00;America/Godthab;73.2017;-56.0136;EN;Innarsuit Heliport
IUL;IUL;ID;Airport;+09:00;Asia/Jayapura;-3.75;138.0833;EN;Ilu
IUM;IUM;CA;Airport;-08:00;America/Vancouver;54.2833;-122.6333;EN;Summit Lake
IUO;IUO;CN;Rail Station;+08:00;Asia/Shanghai;29.8942;114.2942;EN;Xianning Rail Station
IUP;IUP;BR;Airport;-04:00;America/Porto_Velho;-7.1736;-59.8392;EN;Apui
IUS;IUS;PG;Airport;+11:00;Pacific/Bougainville;-5.8167;155.1667;EN;Inus
IVA;IVA;MG;Airport;+03:00;Indian/Antananarivo;-13.485;48.6328;EN;Ambanja Ampampamena
IVC;IVC;NZ;Airport;+12:00;Pacific/Auckland;-46.4147;168.3131;EN;Invercargill
IVG;IVG;ME;Airport;+01:00;Europe/Podgorica;42.8392;19.8622;EN;Berane Dolac
IVH;IVH;US;Airport;-09:00;America/Anchorage;69.4;-148.25;EN;Ivishak
IVI;IVI;PA;Airport;-05:00;America/Panama;8.4717;-79.0006;EN;Viveros Island
IVL;IVL;FI;Airport;+02:00;Europe/Helsinki;68.6072;27.4053;EN;Ivalo
IVO;IVO;CO;Airport;-05:00;America/Bogota;10.0167;-74.6833;EN;Chivolo
IVR;IVR;AU;Airport;+10:00;Australia/Sydney;-29.8869;151.145;EN;Inverell
IVW;IVW;AU;Airport;+09:30;Australia/Darwin;-17.7667;129.2333;EN;Inverway
IWA;IWA;RU;Airport;+03:00;Europe/Moscow;57.0583;40.98;EN;Ivanovo Yuzhny
IWD;IWD;US;Airport;-06:00;America/Chicago;46.5278;-90.1328;EN;Ironwood Gogebic-Iron County
IWJ;IWJ;JP;Airport;+09:00;Asia/Tokyo;34.6764;131.7903;EN;Iwami
IWK;IWK;JP;Airport;+09:00;Asia/Tokyo;34.1461;132.2472;EN;Iwakuni
IWO;IWO;JP;Airport;+09:00;Asia/Tokyo;24.7833;141.3167;EN;Iwoto (Iwo Jima)
IWS;HOU;US;Airport;-06:00;America/Chicago;29.8183;-95.6728;EN;Houston West Houston Apt
IXA;IXA;IN;Airport;+05:30;Asia/Kolkata;23.8869;91.2406;EN;Agartala
IXB;IXB;IN;Airport;+05:30;Asia/Kolkata;26.6811;88.3286;EN;Bagdogra
IXC;IXC;IN;Airport;+05:30;Asia/Kolkata;30.6733;76.7886;EN;Chandigarh
IXD;IXD;IN;Airport;+05:30;Asia/Kolkata;25.44;81.7339;EN;Allahabad
IXE;IXE;IN;Airport;+05:30;Asia/Kolkata;12.9614;74.89;EN;Mangalore
IXG;IXG;IN;Airport;+05:30;Asia/Kolkata;15.8592;74.6183;EN;Belgaum Sambre
IXH;IXH;IN;Airport;+05:30;Asia/Kolkata;24.3167;92.0167;EN;Kailashahar
IXI;IXI;IN;Airport;+05:30;Asia/Kolkata;27.2944;94.0964;EN;Lilabari
IXJ;IXJ;IN;Airport;+05:30;Asia/Kolkata;32.6892;74.8375;EN;Jammu
IXK;IXK;IN;Airport;+05:30;Asia/Kolkata;21.3167;70.2667;EN;Keshod
IXL;IXL;IN;Airport;+05:30;Asia/Kolkata;34.1358;77.5464;EN;Leh
IXM;IXM;IN;Airport;+05:30;Asia/Kolkata;9.8344;78.0933;EN;Madurai
IXN;IXN;IN;Airport;+05:30;Asia/Kolkata;24.0667;91.6333;EN;Khowai
IXP;IXP;IN;Airport;+05:30;Asia/Kolkata;32.2339;75.6347;EN;Pathankot
IXQ;IXQ;IN;Airport;+05:30;Asia/Kolkata;24.1333;91.8167;EN;Kamalpur
IXR;IXR;IN;Airport;+05:30;Asia/Kolkata;23.3142;85.3217;EN;Ranchi
IXS;IXS;IN;Airport;+05:30;Asia/Kolkata;24.9131;92.9786;EN;Silchar
IXT;IXT;IN;Airport;+05:30;Asia/Kolkata;28.0672;95.3364;EN;Pasighat
IXU;IXU;IN;Airport;+05:30;Asia/Kolkata;19.8628;75.3981;EN;Aurangabad
IXV;IXV;IN;Airport;+05:30;Asia/Kolkata;28.1756;94.8022;EN;Along
IXW;IXW;IN;Airport;+05:30;Asia/Kolkata;22.8167;86.1667;EN;Jamshedpur Sonari
IXX;IXX;IN;Airport;+05:30;Asia/Kolkata;17.9081;77.4858;EN;Bidar Airport
IXY;IXY;IN;Airport;+05:30;Asia/Kolkata;23.1128;70.1006;EN;Kandla
IXZ;IXZ;IN;Airport;+05:30;Asia/Kolkata;11.6411;92.7297;EN;Port Blair
IYK;IYK;US;Airport;-08:00;America/Los_Angeles;35.6547;-117.8289;EN;Inyokern
IZA;JDF;BR;Airport;-03:00;America/Araguaina;-21.5122;-43.1706;EN;Juiz De Fora Presidente I. Franco
IZE;IZE;DE;Airport;+01:00;Europe/Berlin;53.9947;9.5786;EN;Itzehoe Edhf Airport
IZO;IZO;JP;Airport;+09:00;Asia/Tokyo;35.4136;132.89;EN;Izumo
IZT;IZT;MX;Airport;-06:00;America/Mexico_City;16.4489;-95.0939;EN;Ixtepec
JAA;JAA;AF;Airport;+04:30;Asia/Kabul;34.4;70.4983;EN;Jalalabad
JAB;JAB;AU;Airport;+09:30;Australia/Darwin;-10.2167;132.5667;EN;Jabiru
JAC;JAC;US;Airport;-07:00;America/Denver;43.6072;-110.7378;EN;Jackson
JAD;PER;AU;Airport;+08:00;Australia/Perth;-32.0833;115.8833;EN;Perth Jandakot
