AirportCode;CityCode;CountryCode;LocationType;UtcOffset;TimeZoneId;Latitude;Longitude;AirportName
UEO;UEO;JP;Airport;+09:00;Asia/Tokyo;26.3653;126.7164;Kume Jima
UER;UER;ES;Rail Station;+01:00;Europe/Madrid;38.6914;-4.1119;Puertollano Rail Station
UES;UES;US;Airport;-06:00;America/Chicago;43.0422;-88.2378;Waukesha County
UET;UET;PK;Airport;+05:00;Asia/Karachi;30.2514;66.9378;Quetta
UFA;UFA;RU;Airport;+05:00;Asia/Yekaterinburg;54.5575;55.8839;Ufa
UFM;UFM;GB;Rail Station;+00:00;Europe/London;50.1483;-5.0644;Falmouth Rail Station
UGA;UGA;MN;Airport;+08:00;Asia/Ulaanbaatar;48.8;103.55;Bulgan
UGB;PIP;US;Airport;-09:00;America/Anchorage;57.4247;-157.7447;Pilot Point Ugashik Bay Apt
UGC;UGC;UZ;Airport;+05:00;Asia/Tashkent;41.5842;60.6417;Urgench
UGI;UGI;US;Airport;-09:00;America/Anchorage;57.8403;-153.3303;San Juan (Uganik) Spb
UGL;UGL;AQ;Airport;-04:00;Antarctica/South_Pole;-79.7756;-83.3028;Antarctica Union Glacier
UGN;UGN;US;Airport;-06:00;America/Chicago;42.35;-87.8333;Waukegan Regional
UGO;UGO;AO;Airport;+01:00;Africa/Luanda;-7.6014;15.0281;Uige
UGR;RGS;ES;Rail Station;+01:00;Europe/Madrid;42.3708;-3.6661;Burgos Rail Station
UGS;UGS;US;Airport;-09:00;America/Anchorage;57.5333;-157.4;Ugashik
UGT;UGT;MN;Airport;+08:00;Asia/Ulaanbaatar;43.7506;104.1203;Bulagtai
UGU;UGU;ID;Airport;+09:00;Asia/Jayapura;-3.7333;137.0333;Bilogai
UHE;UHE;CZ;Airport;+01:00;Europe/Prague;49.0294;17.4397;Uherske Hradiste Kunovice
UHF;UHF;GB;Airport;+00:00;Europe/London;51.9333;-1.25;Raf Upper Heyford
UHS;UHS;RU;Airport;+11:00;Asia/Srednekolymsk;50.8772;142.1758;Aleksandrovsk-Sakhalinskiy
UIB;UIB;CO;Airport;-05:00;America/Bogota;5.6908;-76.6411;Quibdo El Carano
UIG;HJJ;CN;Rail Station;+08:00;Asia/Shanghai;27.5617;109.9625;Huaihua Railway Station
